word,globalWeek,totalUses
a,202428,1
a,202429,1
a,202433,2
a,202437,2
aa,202429,3
aa,202432,7
aa,202433,3
aa,202437,1
aaa,202429,1
aaa,202433,2
aaa,202437,2
aaaaa,202428,1
aba,202429,1
abtam,202429,1
ada,202436,1
adrehite,202432,1
aew,202429,13
agh,202429,1
ah,202429,2
ah,202433,1
aha,202429,1
aiva,202429,1
aivan,202429,1
aivanis,202428,1
aiwan,202428,9
aiwan,202429,12
aiwan,202433,1
aiwanaiwan,202428,2
aiwanaiwan,202429,2
akkubeze,202428,1
aliran,202431,8
aliran,202432,11
aller,202432,2
an,202431,6
an,202432,8
an,202433,17
an,202437,5
angry,202428,1
anu,202428,1
ar,202429,4
ar,202431,8
ar,202432,2
ardeh,202429,1
ardehada,202437,2
ardehite,202432,2
ardehote,202432,2
ardehote,202433,7
ardehote,202436,1
ardehote,202437,1
ardehotte,202431,6
ardehotte,202432,2
arwusta,202428,2
arwusta,202429,5
arwusta,202433,14
at,202436,2
atu,202429,13
atu,202431,7
atu,202432,7
atu,202433,19
atu,202436,12
atu,202437,3
atuatu,202433,1
atuatu,202437,1
awain,202433,1
ba,202429,3
baaba,202429,4
baddi,202429,3
bakeze,202428,1
bakeze,202433,2
bakkeze,202428,5
bakkeze,202429,9
bakkeze,202432,2
bakkeze,202433,3
bakku,202428,1
bakzu,202436,1
balaxi,202428,1
balaxi,202429,1
bale,202429,1
bana,202429,1
basic,202429,1
basku,202433,3
berri,202429,2
berri,202432,4
berri,202433,6
bey,202428,2
bey,202429,3
beyotte,202431,1
bicse,202428,1
bisu,202431,3
bisu,202433,5
bisubakkeze,202431,4
biyaakah,202428,1
bizkada,202436,1
bizkote,202432,1
bizkote,202433,5
bizkote,202436,1
bizkote,202437,1
bizkotte,202429,6
bizku,202429,1
bizku,202436,1
bleikja,202432,2
bottom,202436,1
braggur,202429,3
bregidh,202429,1
bukit,202433,6
bwana,202428,1
bwana,202429,7
bwana,202431,2
bwana,202432,6
bwana,202433,7
bwana,202436,2
bwana,202437,1
bwanaba,202433,3
bwanga,202436,3
bwanga,202437,2
bwanote,202429,2
bwanotte,202429,1
bwazzotte,202429,2
bwingu,202436,8
bwingu,202437,4
dauur,202429,2
dawa,202429,1
dejvid,202428,1
dejvid,202429,6
dejvid,202431,4
dejvid,202432,12
dejvid,202433,2
dejvid,202435,1
dejvid,202437,1
denir,202432,3
der,202432,1
det,202432,1
duma,202433,3
duvas,202433,2
duvasba,202433,3
duvaste,202433,8
duvaste,202437,1
dyr,202432,7
dyr,202433,27
dyrba,202433,1
dyrialle,202432,7
dyrialle,202433,3
efin,202432,2
ekivalan,202433,8
ekkibwana,202432,2
ekkinalaegt,202432,2
ekkixagotte,202432,1
eld,202429,7
eld,202432,2
eld,202433,2
eldit,202429,1
eldotte,202432,2
eltannote,202432,2
eltanote,202432,3
empas,202436,1
empasada,202436,5
empasote,202436,1
empasu,202436,4
ence,202433,2
er,202428,2
er,202429,31
er,202431,5
er,202432,41
er,202433,41
er,202435,1
er,202436,7
erba,202432,12
erba,202433,8
eryn,202429,9
evamdi,202429,1
farcite,202428,1
faxaotte,202432,1
faxxa,202437,1
faxxaa,202429,8
faxxaaba,202429,1
faxxaote,202433,1
faxxaotte,202431,5
faxxate,202433,5
faxxate,202436,1
faxxote,202433,2
fin,202436,1
finn,202428,1
finn,202429,3
finn,202431,1
finn,202432,1
finn,202436,1
finn,202437,1
fiskur,202428,3
fiskur,202432,10
fiskurbakkeze,202432,3
fiskurnaku,202432,3
forming,202429,1
fra,202429,1
fred,202429,6
fred,202432,2
fred,202433,2
fred,202436,2
fredaew,202429,1
fredaew,202432,10
fredaew,202433,1
frente,202428,1
gadin,202429,1
galas,202433,13
gaman,202429,5
gasi,202433,5
gwae,202429,2
gwerin,202429,1
hadfidxag,202432,1
hafi,202429,1
hafid,202432,10
hafidag,202432,1
hafiddir,202432,1
hafiddyr,202432,8
hafidxag,202432,17
haha,202433,2
hanian,202429,1
hanian,202433,1
har,202432,8
har,202433,2
havas,202433,2
havote,202432,1
hef,202428,2
hef,202429,28
hef,202431,1
hef,202432,4
hef,202433,5
hef,202436,1
hefba,202429,2
hefba,202431,2
hefba,202432,4
hefba,202433,4
hefote,202432,2
hefote,202433,10
hefotte,202431,2
hefotte,202432,2
henian,202429,6
henian,202431,1
henian,202432,2
henian,202433,7
henian,202436,3
henianba,202432,5
henianba,202433,2
henianba,202436,1
henianote,202432,7
henianote,202433,1
heniante,202433,2
her,202432,1
hinna,202428,2
hm,202432,1
hmm,202429,1
hmm,202431,1
hmm,202433,1
hmm,202436,1
hmmm,202433,1
horote,202432,1
hostate,202433,1
hurts,202428,1
hvar,202429,1
hvar,202432,8
hvili,202432,5
hvir,202432,1
hvir,202433,1
hvor,202432,1
i,202428,1
i,202432,9
iaf,202432,2
iaf,202433,3
in,202432,1
inja,202428,1
inki,202433,5
it,202428,2
iznu,202436,1
j,202429,1
ja,202428,1
ja,202429,2
ja,202432,10
kanan,202433,2
kananteluk,202433,1
kiri,202433,1
kiriba,202433,1
krab,202429,2
kraba,202429,1
krabba,202428,6
krabba,202429,19
krabba,202432,25
krabbino,202429,1
kryol,202428,1
kyeru,202429,1
la,202429,7
la,202431,1
la,202432,2
la,202433,5
la,202436,1
laakin,202429,1
leiotte,202432,1
liantasse,202429,8
liantasse,202433,1
liyo,202429,1
lock,202436,1
lona,202437,2
lonada,202437,3
look,202428,1
lot,202428,1
madu,202433,5
maduba,202433,1
madute,202433,3
makhan,202429,6
makhan,202432,1
mana,202429,13
mana,202431,5
mana,202432,6
mana,202433,13
mana,202435,1
mana,202436,5
mayan,202429,2
med,202432,6
mei,202433,4
mellon,202429,7
mellon,202432,1
mellonaew,202429,1
mellonkrabba,202429,1
mentup,202433,2
menutup,202433,1
meqe,202429,2
mequ,202429,4
mequ,202432,1
mequba,202429,2
mequi,202432,1
mequite,202432,1
mequmequ,202429,1
mequote,202432,4
mequotte,202432,1
mhm,202437,1
micaze,202428,2
mig,202432,1
min,202432,7
minn,202428,1
minn,202429,6
miw,202433,1
mjg,202429,1
mjog,202429,1
mjog,202432,1
mm,202429,2
mm,202436,1
na,202429,1
nabah,202429,2
nabah,202433,9
nabah,202437,7
nabahba,202433,1
nakotte,202429,2
naku,202428,1
naku,202429,3
naku,202433,1
nakunaku,202436,1
nalaegt,202432,2
namma,202429,5
namma,202432,1
namma,202433,8
namma,202437,1
ne,202428,1
ne,202429,2
nei,202429,7
nei,202431,3
nei,202432,9
nei,202433,5
nei,202436,3
neiekivalan,202433,1
niku,202429,1
nin,202429,27
nin,202431,12
nin,202432,25
nin,202433,37
nin,202436,4
nin,202437,3
ninnin,202432,10
ninnin,202433,40
ninnin,202437,4
no,202436,1
norbagi,202436,1
nu,202432,1
o,202429,2
of,202436,1
og,202429,9
og,202431,5
og,202432,20
og,202433,15
ohhhh,202432,1
oj,202433,4
one,202433,1
ooo,202432,1
ooooh,202429,1
pasau,202433,1
pasauba,202433,1
pasaute,202433,1
pinches,202428,1
pisao,202433,1
pisau,202433,4
pisaute,202433,2
pohon,202433,5
points,202436,2
prasku,202429,2
qawwalayla,202428,2
qida,202428,1
rach,202432,1
rach,202433,2
rachba,202433,7
rachdyr,202433,11
rachedyr,202433,1
rachqer,202433,1
rango,202433,1
rangorango,202433,2
rodan,202433,1
rodante,202433,3
ross,202429,6
runada,202437,2
runaote,202432,3
runaote,202433,7
runote,202437,1
rutaga,202436,3
saanotte,202429,1
sakhtan,202428,2
sakvebi,202428,1
sal,202429,1
salam,202428,1
salt,202429,3
saman,202428,1
saprtxe,202428,1
se,202432,1
sendok,202433,23
sendokote,202433,1
shelter,202429,1
shiimayen,202428,2
sjaumst,202429,1
soolis,202429,5
sor,202432,5
suh,202428,1
suh,202429,2
suh,202432,2
suil,202429,8
suil,202432,4
suil,202433,2
teku,202436,1
teluk,202433,1
thallan,202433,2
thallante,202433,1
thetta,202429,3
they,202428,1
thinn,202429,1
this,202433,1
thorskur,202432,2
ti,202429,1
tithen,202433,6
toalle,202429,4
tree,202436,1
tugu,202436,8
tuguba,202436,1
tugun,202436,1
urfum,202429,1
uuuuhhh,202433,1
vagn,202432,1
valan,202433,1
vamt,202429,1
vatn,202428,1
vatn,202429,4
vatn,202432,3
vatn,202433,7
vatnis,202429,2
veia,202428,1
veiistng,202428,2
very,202428,1
vi,202428,1
vi,202429,1
vinur,202428,2
vinur,202429,15
vinur,202432,4
vinur,202436,2
vinur,202437,1
vircolca,202429,3
viscubakkeze,202428,1
wakotte,202431,1
waktu,202428,1
wana,202428,2
wango,202433,3
wazku,202428,1
woh,202429,2
xag,202429,3
xag,202431,3
xag,202432,6
xag,202433,4
xagah,202429,1
xagba,202433,1
xagote,202432,5
xagote,202433,6
xagotte,202429,3
xagotte,202431,1
xagotte,202432,3
xe,202428,1
xeebit,202428,1
xeugseyyo,202428,1
xoo,202429,7
xoo,202432,3
xoo,202433,24
xoo,202436,3
xoo,202437,7
xooiaf,202432,5
xooiaf,202433,2
ya,202428,13
ya,202429,12
ya,202432,5
ya,202433,3
ya,202436,2
yaa,202429,1
yee,202429,1
yeeey,202433,1
yeey,202429,8
yeey,202431,2
yeey,202432,1
yeey,202433,13
yeey,202437,1
yhkic,202437,2
yl,202432,3
you,202428,1
young,202428,1
young,202429,2
young,202432,2
ysa,202432,2
