word,totalUses,weekCoined,uniqueUsers
a,4,202428,1
aa,13,202429,3
aaa,3,202429,2
aaaaa,1,202428,1
aba,1,202429,1
abtam,1,202429,1
adrehite,1,202432,1
aew,13,202429,3
agh,1,202429,1
ah,3,202429,2
aha,1,202429,1
aiva,1,202429,1
aivan,1,202429,1
aivanis,1,202428,1
aiwan,22,202428,3
aiwanaiwan,4,202428,2
akkubeze,1,202428,1
aliran,19,202431,3
aller,2,202432,1
an,31,202431,2
angry,1,202428,1
anu,1,202428,1
ar,14,202429,2
ardeh,1,202429,1
ardehite,2,202432,1
ardehote,9,202432,3
ardehotte,8,202431,3
arwusta,21,202428,4
atu,46,202429,3
atuatu,1,202433,1
awain,1,202433,1
ba,3,202429,2
baaba,4,202429,2
baddi,3,202429,2
bakeze,3,202428,2
bakkeze,19,202428,3
bakku,1,202428,1
balaxi,2,202428,1
bale,1,202429,1
bana,1,202429,1
basic,1,202429,1
basku,3,202433,2
berri,12,202429,3
bey,5,202428,2
beyotte,1,202431,1
bicse,1,202428,1
bisu,8,202431,2
bisubakkeze,4,202431,2
biyaakah,1,202428,1
bizkote,6,202432,2
bizkotte,6,202429,3
bizku,1,202429,1
bleikja,2,202432,1
braggur,3,202429,2
bregidh,1,202429,1
bukit,6,202433,3
bwana,23,202428,4
bwanaba,3,202433,1
bwanote,2,202429,2
bwanotte,1,202429,1
bwazzotte,2,202429,2
dauur,2,202429,1
dawa,1,202429,1
dejvid,26,202428,3
denir,3,202432,1
der,1,202432,1
det,1,202432,1
duma,3,202433,1
duvas,2,202433,1
duvasba,3,202433,2
duvaste,8,202433,2
dyr,34,202432,4
dyrba,1,202433,1
dyrialle,10,202432,3
efin,2,202432,1
ekivalan,8,202433,2
ekkibwana,2,202432,1
ekkinalaegt,2,202432,1
ekkixagotte,1,202432,1
eld,11,202429,4
eldit,1,202429,1
eldotte,2,202432,1
eltannote,2,202432,1
eltanote,3,202432,2
ence,2,202433,1
er,121,202428,4
erba,20,202432,4
eryn,9,202429,2
evamdi,1,202429,1
farcite,1,202428,1
faxaotte,1,202432,1
faxxaa,8,202429,2
faxxaaba,1,202429,1
faxxaote,1,202433,1
faxxaotte,5,202431,2
faxxate,5,202433,2
faxxote,2,202433,1
finn,6,202428,4
fiskur,13,202428,3
fiskurbakkeze,3,202432,2
fiskurnaku,3,202432,2
forming,1,202429,1
fra,1,202429,1
fred,10,202429,3
fredaew,12,202429,3
frente,1,202428,1
gadin,1,202429,1
galas,13,202433,2
gaman,5,202429,2
gasi,5,202433,2
gwae,2,202429,1
gwerin,1,202429,1
hadfidxag,1,202432,1
hafi,1,202429,1
hafid,10,202432,2
hafidag,1,202432,1
hafiddir,1,202432,1
hafiddyr,8,202432,1
hafidxag,17,202432,2
haha,2,202433,1
hanian,2,202429,2
har,10,202432,2
havas,2,202433,2
havote,1,202432,1
hef,40,202428,3
hefba,12,202429,2
hefote,12,202432,2
hefotte,4,202431,1
henian,16,202429,3
henianba,7,202432,3
henianote,8,202432,3
heniante,2,202433,2
her,1,202432,1
hinna,2,202428,1
hm,1,202432,1
hmm,3,202429,1
hmmm,1,202433,1
horote,1,202432,1
hostate,1,202433,1
hurts,1,202428,1
hvar,9,202429,2
hvili,5,202432,1
hvir,2,202432,2
hvor,1,202432,1
i,10,202428,2
iaf,5,202432,1
in,1,202432,1
inja,1,202428,1
inki,5,202433,2
it,2,202428,1
j,1,202429,1
ja,13,202428,1
kanan,2,202433,1
kananteluk,1,202433,1
kiri,1,202433,1
kiriba,1,202433,1
krab,2,202429,1
kraba,1,202429,1
krabba,50,202428,3
krabbino,1,202429,1
kryol,1,202428,1
kyeru,1,202429,1
la,15,202429,3
laakin,1,202429,1
leiotte,1,202432,1
liantasse,9,202429,3
liyo,1,202429,1
look,1,202428,1
lot,1,202428,1
madu,5,202433,1
maduba,1,202433,1
madute,3,202433,1
makhan,7,202429,4
mana,38,202429,3
mayan,2,202429,2
med,6,202432,2
mei,4,202433,1
mellon,8,202429,3
mellonaew,1,202429,1
mellonkrabba,1,202429,1
mentup,2,202433,1
menutup,1,202433,1
meqe,2,202429,2
mequ,5,202429,4
mequba,2,202429,1
mequi,1,202432,1
mequite,1,202432,1
mequmequ,1,202429,1
mequote,4,202432,2
mequotte,1,202432,1
micaze,2,202428,2
mig,1,202432,1
min,7,202432,1
minn,7,202428,1
miw,1,202433,1
mjg,1,202429,1
mjog,2,202429,1
mm,2,202429,1
na,1,202429,1
nabah,11,202429,2
nabahba,1,202433,1
nakotte,2,202429,1
naku,5,202428,3
nalaegt,2,202432,1
namma,14,202429,2
ne,3,202428,1
nei,24,202429,4
neiekivalan,1,202433,1
niku,1,202429,1
nin,101,202429,4
ninnin,50,202432,3
nu,1,202432,1
o,2,202429,1
og,49,202429,3
ohhhh,1,202432,1
oj,4,202433,2
one,1,202433,1
ooo,1,202432,1
ooooh,1,202429,1
pasau,1,202433,1
pasauba,1,202433,1
pasaute,1,202433,1
pinches,1,202428,1
pisao,1,202433,1
pisau,4,202433,2
pisaute,2,202433,1
pohon,5,202433,2
prasku,2,202429,2
qawwalayla,2,202428,1
qida,1,202428,1
rach,3,202432,2
rachba,7,202433,2
rachdyr,11,202433,2
rachedyr,1,202433,1
rachqer,1,202433,1
rango,1,202433,1
rangorango,2,202433,1
rodan,1,202433,1
rodante,3,202433,1
ross,6,202429,3
runaote,10,202432,2
saanotte,1,202429,1
sakhtan,2,202428,1
sakvebi,1,202428,1
sal,1,202429,1
salam,1,202428,1
salt,3,202429,1
saman,1,202428,1
saprtxe,1,202428,1
se,1,202432,1
sendok,23,202433,3
sendokote,1,202433,1
shelter,1,202429,1
shiimayen,2,202428,2
sjaumst,1,202429,1
soolis,5,202429,3
sor,5,202432,1
suh,5,202428,3
suil,14,202429,3
teluk,1,202433,1
thallan,2,202433,2
thallante,1,202433,1
thetta,3,202429,1
they,1,202428,1
thinn,1,202429,1
this,1,202433,1
thorskur,2,202432,1
ti,1,202429,1
tithen,6,202433,2
toalle,4,202429,2
urfum,1,202429,1
uuuuhhh,1,202433,1
vagn,1,202432,1
valan,1,202433,1
vamt,1,202429,1
vatn,15,202428,3
vatnis,2,202429,2
veia,1,202428,1
veiistng,2,202428,2
very,1,202428,1
vi,2,202428,1
vinur,21,202428,3
vircolca,3,202429,2
viscubakkeze,1,202428,1
wakotte,1,202431,1
waktu,1,202428,1
wana,2,202428,2
wango,3,202433,2
wazku,1,202428,1
woh,2,202429,1
xag,16,202429,3
xagah,1,202429,1
xagba,1,202433,1
xagote,11,202432,4
xagotte,7,202429,3
xe,1,202428,1
xeebit,1,202428,1
xeugseyyo,1,202428,1
xoo,34,202429,3
xooiaf,7,202432,2
ya,33,202428,3
yaa,1,202429,1
yee,1,202429,1
yeeey,1,202433,1
yeey,24,202429,2
yl,3,202432,2
you,1,202428,1
young,5,202428,3
ysa,2,202432,1
